year,countyreal,lpop,lemp,first.treat,treat
2003,8001.0,5.896760933305299,8.461469042643875,2007.0,1.0
2004,8001.0,5.896760933305299,8.336869637284956,2007.0,1.0
2005,8001.0,5.896760933305299,8.340217320947035,2007.0,1.0
2006,8001.0,5.896760933305299,8.37816098272068,2007.0,1.0
2007,8001.0,5.896760933305299,8.487352349405215,2007.0,1.0
2003,8019.0,2.232377197950549,4.997212273764115,2007.0,1.0
2004,8019.0,2.232377197950549,5.081404364984463,2007.0,1.0
2005,8019.0,2.232377197950549,4.787491742782046,2007.0,1.0
2006,8019.0,2.232377197950549,4.990432586778736,2007.0,1.0
2007,8019.0,2.232377197950549,5.0369526024136295,2007.0,1.0
2003,8023.0,1.2982824837966773,2.1972245773362196,2007.0,1.0
2004,8023.0,1.2982824837966773,2.302585092994046,2007.0,1.0
2005,8023.0,1.2982824837966773,2.772588722239781,2007.0,1.0
2006,8023.0,1.2982824837966773,1.9459101490553132,2007.0,1.0
2007,8023.0,1.2982824837966773,2.995732273553991,2007.0,1.0
2003,8029.0,3.3262582949976616,5.883322388488279,2007.0,1.0
2004,8029.0,3.3262582949976616,5.7899601708972535,2007.0,1.0
2005,8029.0,3.3262582949976616,5.857933154483459,2007.0,1.0
2006,8029.0,3.3262582949976616,5.998936561946683,2007.0,1.0
2007,8029.0,3.3262582949976616,6.104793232414985,2007.0,1.0
2003,8041.0,6.247905534323346,8.968650903374874,2007.0,1.0
2004,8041.0,6.247905534323346,8.915700818956903,2007.0,1.0
2005,8041.0,6.247905534323346,8.900957872545062,2007.0,1.0
2006,8041.0,6.247905534323346,8.902727664035522,2007.0,1.0
2007,8041.0,6.247905534323346,8.881002624255569,2007.0,1.0
2003,8063.0,2.08081559723298,4.941642422609304,2007.0,1.0
2004,8063.0,2.08081559723298,4.867534450455582,2007.0,1.0
2005,8063.0,2.08081559723298,4.663439094112067,2007.0,1.0
2006,8063.0,2.08081559723298,4.812184355372417,2007.0,1.0
2007,8063.0,2.08081559723298,4.919980925828125,2007.0,1.0
2003,8075.0,3.02061998906177,5.697093486505405,2007.0,1.0
2004,8075.0,3.02061998906177,5.631211781821365,2007.0,1.0
2005,8075.0,3.02061998906177,5.720311776607412,2007.0,1.0
2006,8075.0,3.02061998906177,5.796057750765372,2007.0,1.0
2007,8075.0,3.02061998906177,5.560681631015528,2007.0,1.0
2003,8103.0,1.7894234094305073,4.454347296253507,2007.0,1.0
2004,8103.0,1.7894234094305073,4.584967478670572,2007.0,1.0
2005,8103.0,1.7894234094305073,4.7535901911063645,2007.0,1.0
2006,8103.0,1.7894234094305073,4.90527477843843,2007.0,1.0
2007,8103.0,1.7894234094305073,4.718498871295094,2007.0,1.0
2003,8117.0,3.159040891166015,6.3784261836515865,2007.0,1.0
2004,8117.0,3.159040891166015,6.274762021241939,2007.0,1.0
2005,8117.0,3.159040891166015,6.284134161070802,2007.0,1.0
2006,8117.0,3.159040891166015,6.3818160174060985,2007.0,1.0
2007,8117.0,3.159040891166015,6.431331081933479,2007.0,1.0
2003,8123.0,5.1981433775775105,7.755338812846501,2007.0,1.0
2004,8123.0,5.1981433775775105,7.687997166393016,2007.0,1.0
2005,8123.0,5.1981433775775105,7.754052639035757,2007.0,1.0
2006,8123.0,5.1981433775775105,7.789454566086673,2007.0,1.0
2007,8123.0,5.1981433775775105,7.803026643632217,2007.0,1.0
2003,12007.0,3.261475438487018,5.501258210544727,2006.0,1.0
2004,12007.0,3.261475438487018,5.594711379601839,2006.0,1.0
2005,12007.0,3.261475438487018,5.247024072160486,2006.0,1.0
2006,12007.0,3.261475438487018,5.43372200355424,2006.0,1.0
2007,12007.0,3.261475438487018,5.442417710521793,2006.0,1.0
2003,12019.0,4.9474398705991085,7.772752716468742,2006.0,1.0
2004,12019.0,4.9474398705991085,7.811163385025279,2006.0,1.0
2005,12019.0,4.9474398705991085,7.8013913202914855,2006.0,1.0
2006,12019.0,4.9474398705991085,7.8632667240095735,2006.0,1.0
2007,12019.0,4.9474398705991085,7.870165946469845,2006.0,1.0
2003,12023.0,4.034470700181672,6.99117688712121,2006.0,1.0
2004,12023.0,4.034470700181672,6.53813982376767,2006.0,1.0
2005,12023.0,4.034470700181672,6.590301048196686,2006.0,1.0
2006,12023.0,4.034470700181672,6.551080335043404,2006.0,1.0
2007,12023.0,4.034470700181672,6.717804695023691,2006.0,1.0
2003,12029.0,2.626623202406481,3.8501476017100584,2006.0,1.0
2004,12029.0,2.626623202406481,4.07753744390572,2006.0,1.0
2005,12029.0,2.626623202406481,4.356708826689592,2006.0,1.0
2006,12029.0,2.626623202406481,4.31748811353631,2006.0,1.0
2007,12029.0,2.626623202406481,4.330733340286331,2006.0,1.0
2003,12051.0,3.58933532377755,6.42648845745769,2006.0,1.0
2004,12051.0,3.58933532377755,6.423246963533519,2006.0,1.0
2005,12051.0,3.58933532377755,6.373319789577012,2006.0,1.0
2006,12051.0,3.58933532377755,6.411818267709897,2006.0,1.0
2007,12051.0,3.58933532377755,6.373319789577012,2006.0,1.0
2003,12071.0,6.088790874937479,8.758726607842037,2006.0,1.0
2004,12071.0,6.088790874937479,8.798454696065095,2006.0,1.0
2005,12071.0,6.088790874937479,8.99118884193151,2006.0,1.0
2006,12071.0,6.088790874937479,9.151651375627504,2006.0,1.0
2007,12071.0,6.088790874937479,9.06843112579349,2006.0,1.0
2003,12087.0,4.376875892346313,6.723832440821209,2006.0,1.0
2004,12087.0,4.376875892346313,6.792344427470809,2006.0,1.0
2005,12087.0,4.376875892346313,6.7580945044277305,2006.0,1.0
2006,12087.0,4.376875892346313,6.7464121285733745,2006.0,1.0
2007,12087.0,4.376875892346313,6.747586526829315,2006.0,1.0
2003,12093.0,3.5810158082379915,5.723585101952381,2006.0,1.0
2004,12093.0,3.5810158082379915,6.0112671744041615,2006.0,1.0
2005,12093.0,3.5810158082379915,6.102558594613569,2006.0,1.0
2006,12093.0,3.5810158082379915,6.091309882077698,2006.0,1.0
2007,12093.0,3.5810158082379915,6.144185634125646,2006.0,1.0
2003,12097.0,5.150356655937891,7.590852123688581,2006.0,1.0
2004,12097.0,5.150356655937891,7.593877844605118,2006.0,1.0
2005,12097.0,5.150356655937891,7.765569081097317,2006.0,1.0
2006,12097.0,5.150356655937891,7.873217054862741,2006.0,1.0
2007,12097.0,5.150356655937891,7.847371836159788,2006.0,1.0
2003,12099.0,7.031020150770707,9.76864100976636,2006.0,1.0
2004,12099.0,7.031020150770707,9.629182277125986,2006.0,1.0
2005,12099.0,7.031020150770707,9.722025626154055,2006.0,1.0
2006,12099.0,7.031020150770707,9.816239783971849,2006.0,1.0
2007,12099.0,7.031020150770707,9.893639216481313,2006.0,1.0
2003,12109.0,4.813281314468339,7.550661243105336,2006.0,1.0
2004,12109.0,4.813281314468339,7.627057417018934,2006.0,1.0
2005,12109.0,4.813281314468339,7.711996507047669,2006.0,1.0
2006,12109.0,4.813281314468339,7.8628820346414905,2006.0,1.0
2007,12109.0,4.813281314468339,7.881182202227102,2006.0,1.0
2003,12113.0,4.768504283146411,7.0909098220799835,2006.0,1.0
2004,12113.0,4.768504283146411,7.163946684342547,2006.0,1.0
2005,12113.0,4.768504283146411,7.360739903058278,2006.0,1.0
2006,12113.0,4.768504283146411,7.403061091090091,2006.0,1.0
2007,12113.0,4.768504283146411,7.333676395657684,2006.0,1.0
2003,12121.0,3.5508809559566457,5.673323267171493,2006.0,1.0
2004,12121.0,3.5508809559566457,5.697093486505405,2006.0,1.0
2005,12121.0,3.5508809559566457,5.700443573390687,2006.0,1.0
2006,12121.0,3.5508809559566457,5.777652323222656,2006.0,1.0
2007,12121.0,3.5508809559566457,5.783825182329737,2006.0,1.0
2003,13011.0,2.668754818494568,5.272999558563747,0.0,0.0
2004,13011.0,2.668754818494568,5.313205979041787,0.0,0.0
2005,13011.0,2.668754818494568,5.493061443340548,0.0,0.0
2006,13011.0,2.668754818494568,5.598421958998375,0.0,0.0
2007,13011.0,2.668754818494568,5.572154032177765,0.0,0.0
2003,13013.0,3.831766941662484,6.18826412308259,0.0,0.0
2004,13013.0,3.831766941662484,6.182084906716632,0.0,0.0
2005,13013.0,3.831766941662484,6.255750041753367,0.0,0.0
2006,13013.0,3.831766941662484,6.437751649736401,0.0,0.0
2007,13013.0,3.831766941662484,6.401917196727186,0.0,0.0
2003,13019.0,2.7871694055548093,5.564520407322694,0.0,0.0
2004,13019.0,2.7871694055548093,5.556828061699537,0.0,0.0
2005,13019.0,2.7871694055548093,5.655991810819852,0.0,0.0
2006,13019.0,2.7871694055548093,5.627621113690637,0.0,0.0
2007,13019.0,2.7871694055548093,4.997212273764115,0.0,0.0
2003,13021.0,5.036218566841658,7.738923757439457,0.0,0.0
2004,13021.0,5.036218566841658,7.7279755421055585,0.0,0.0
2005,13021.0,5.036218566841658,7.731492029245684,0.0,0.0
2006,13021.0,5.036218566841658,7.709756864454165,0.0,0.0
